total_steps,id_cliente,fecha
13162,1503960366,2016-04-12
10735,1503960366,2016-04-13
10460,1503960366,2016-04-14
9762,1503960366,2016-04-15
12669,1503960366,2016-04-16
9705,1503960366,2016-04-17
13019,1503960366,2016-04-18
15506,1503960366,2016-04-19
10544,1503960366,2016-04-20
9819,1503960366,2016-04-21
12764,1503960366,2016-04-22
14371,1503960366,2016-04-23
10039,1503960366,2016-04-24
15355,1503960366,2016-04-25
13755,1503960366,2016-04-26
18134,1503960366,2016-04-27
13154,1503960366,2016-04-28
11181,1503960366,2016-04-29
14673,1503960366,2016-04-30
10602,1503960366,2016-05-01
14727,1503960366,2016-05-02
15103,1503960366,2016-05-03
11100,1503960366,2016-05-04
14070,1503960366,2016-05-05
12159,1503960366,2016-05-06
11992,1503960366,2016-05-07
10060,1503960366,2016-05-08
12022,1503960366,2016-05-09
12207,1503960366,2016-05-10
12770,1503960366,2016-05-11
0,1503960366,2016-05-12
8163,1624580081,2016-04-12
7007,1624580081,2016-04-13
9107,1624580081,2016-04-14
1510,1624580081,2016-04-15
5370,1624580081,2016-04-16
6175,1624580081,2016-04-17
10536,1624580081,2016-04-18
2916,1624580081,2016-04-19
4974,1624580081,2016-04-20
6349,1624580081,2016-04-21
4026,1624580081,2016-04-22
8538,1624580081,2016-04-23
6076,1624580081,2016-04-24
6497,1624580081,2016-04-25
2826,1624580081,2016-04-26
8367,1624580081,2016-04-27
2759,1624580081,2016-04-28
2390,1624580081,2016-04-29
6474,1624580081,2016-04-30
36019,1624580081,2016-05-01
7155,1624580081,2016-05-02
2100,1624580081,2016-05-03
2193,1624580081,2016-05-04
2470,1624580081,2016-05-05
1727,1624580081,2016-05-06
2104,1624580081,2016-05-07
3427,1624580081,2016-05-08
1732,1624580081,2016-05-09
2969,1624580081,2016-05-10
3134,1624580081,2016-05-11
2971,1624580081,2016-05-12
10694,1644430081,2016-04-12
8001,1644430081,2016-04-13
11037,1644430081,2016-04-14
5263,1644430081,2016-04-15
15300,1644430081,2016-04-16
8757,1644430081,2016-04-17
7132,1644430081,2016-04-18
11256,1644430081,2016-04-19
2436,1644430081,2016-04-20
1223,1644430081,2016-04-21
3673,1644430081,2016-04-22
6637,1644430081,2016-04-23
3321,1644430081,2016-04-24
3580,1644430081,2016-04-25
9919,1644430081,2016-04-26
3032,1644430081,2016-04-27
9405,1644430081,2016-04-28
3176,1644430081,2016-04-29
18213,1644430081,2016-04-30
6132,1644430081,2016-05-01
3758,1644430081,2016-05-02
12850,1644430081,2016-05-03
2309,1644430081,2016-05-04
4363,1644430081,2016-05-05
9787,1644430081,2016-05-06
13372,1644430081,2016-05-07
6724,1644430081,2016-05-08
6643,1644430081,2016-05-09
9167,1644430081,2016-05-10
1329,1644430081,2016-05-11
6697,1844505072,2016-04-12
4929,1844505072,2016-04-13
7937,1844505072,2016-04-14
3844,1844505072,2016-04-15
3414,1844505072,2016-04-16
4525,1844505072,2016-04-17
4597,1844505072,2016-04-18
197,1844505072,2016-04-19
8,1844505072,2016-04-20
8054,1844505072,2016-04-21
5372,1844505072,2016-04-22
3570,1844505072,2016-04-23
0,1844505072,2016-04-24
0,1844505072,2016-04-25
0,1844505072,2016-04-26
4,1844505072,2016-04-27
6907,1844505072,2016-04-28
4920,1844505072,2016-04-29
4014,1844505072,2016-04-30
2573,1844505072,2016-05-01
0,1844505072,2016-05-02
4059,1844505072,2016-05-03
2080,1844505072,2016-05-04
2237,1844505072,2016-05-05
44,1844505072,2016-05-06
0,1844505072,2016-05-07
0,1844505072,2016-05-08
0,1844505072,2016-05-09
0,1844505072,2016-05-10
0,1844505072,2016-05-11
0,1844505072,2016-05-12
678,1927972279,2016-04-12
356,1927972279,2016-04-13
2163,1927972279,2016-04-14
980,1927972279,2016-04-15
0,1927972279,2016-04-16
0,1927972279,2016-04-17
244,1927972279,2016-04-18
0,1927972279,2016-04-19
0,1927972279,2016-04-20
0,1927972279,2016-04-21
149,1927972279,2016-04-22
2945,1927972279,2016-04-23
2090,1927972279,2016-04-24
152,1927972279,2016-04-25
3761,1927972279,2016-04-26
0,1927972279,2016-04-27
1675,1927972279,2016-04-28
0,1927972279,2016-04-29
0,1927972279,2016-04-30
2704,1927972279,2016-05-01
3790,1927972279,2016-05-02
1326,1927972279,2016-05-03
1786,1927972279,2016-05-04
0,1927972279,2016-05-05
2091,1927972279,2016-05-06
1510,1927972279,2016-05-07
0,1927972279,2016-05-08
0,1927972279,2016-05-09
0,1927972279,2016-05-10
0,1927972279,2016-05-11
0,1927972279,2016-05-12
11875,2022484408,2016-04-12
12024,2022484408,2016-04-13
10690,2022484408,2016-04-14
11034,2022484408,2016-04-15
10100,2022484408,2016-04-16
15112,2022484408,2016-04-17
14131,2022484408,2016-04-18
11548,2022484408,2016-04-19
15112,2022484408,2016-04-20
12453,2022484408,2016-04-21
12954,2022484408,2016-04-22
6001,2022484408,2016-04-23
13481,2022484408,2016-04-24
11369,2022484408,2016-04-25
10119,2022484408,2016-04-26
10159,2022484408,2016-04-27
10140,2022484408,2016-04-28
10245,2022484408,2016-04-29
18387,2022484408,2016-04-30
10538,2022484408,2016-05-01
10379,2022484408,2016-05-02
12183,2022484408,2016-05-03
