tiempo_sueño_suma,tiempo_cama_suma,id_cliente
9007,9580,1503960366
1176,1384,1644430081
1956,2883,1844505072
2085,2189,1927972279
14173,15054,2026352035
61,69,2320127002
6702,7370,2347167796
8222,12912,3977333714
2795,3038,4020332650
12393,13051,4319703577
9204,9734,4388161847
10785,11671,4445114986
638,700,4558609924
11272,11832,4702921684
14368,15682,5553957443
11232,11976,5577150313
8618,9183,6117666160
1049,1107,6775888955
13888,14450,6962181067
137,143,7007744171
10875,11194,7086361926
891,905,8053475328
13799,15064,8378563200
6535,6807,8792009665
