id,semana,registros_semanales
1503960366,15,6
1503960366,16,7
1503960366,17,7
1503960366,18,7
1503960366,19,4
1624580081,15,6
1624580081,16,7
1624580081,17,7
1624580081,18,7
1624580081,19,4
1644430081,15,6
1644430081,16,7
1644430081,17,7
1644430081,18,7
1644430081,19,3
1844505072,15,6
1844505072,16,7
1844505072,17,7
1844505072,18,7
1844505072,19,4
1927972279,15,6
1927972279,16,7
1927972279,17,7
1927972279,18,7
1927972279,19,4
2022484408,15,6
2022484408,16,7
2022484408,17,7
2022484408,18,7
2022484408,19,4
2026352035,15,6
2026352035,16,7
2026352035,17,7
2026352035,18,7
2026352035,19,4
2320127002,15,6
2320127002,16,7
2320127002,17,7
2320127002,18,7
2320127002,19,4
2347167796,15,6
2347167796,16,7
2347167796,17,5
2873212765,15,6
2873212765,16,7
2873212765,17,7
2873212765,18,7
2873212765,19,4
3372868164,15,6
3372868164,16,7
3372868164,17,7
3977333714,15,6
3977333714,16,7
3977333714,17,7
3977333714,18,7
3977333714,19,3
4020332650,15,6
4020332650,16,7
4020332650,17,7
4020332650,18,7
4020332650,19,4
4057192912,15,4
4319703577,15,6
4319703577,16,7
4319703577,17,7
4319703577,18,7
4319703577,19,4
4388161847,15,6
4388161847,16,7
4388161847,17,7
4388161847,18,7
4388161847,19,4
4445114986,15,6
4445114986,16,7
4445114986,17,7
4445114986,18,7
4445114986,19,4
4558609924,15,6
4558609924,16,7
4558609924,17,7
4558609924,18,7
4558609924,19,4
4702921684,15,6
4702921684,16,7
4702921684,17,7
4702921684,18,7
4702921684,19,4
5553957443,15,6
5553957443,16,7
5553957443,17,7
5553957443,18,7
5553957443,19,4
5577150313,15,6
5577150313,16,7
5577150313,17,7
5577150313,18,7
5577150313,19,3
6117666160,15,6
6117666160,16,7
6117666160,17,7
6117666160,18,7
6117666160,19,1
6290855005,15,6
6290855005,16,7
6290855005,17,7
6290855005,18,7
6290855005,19,2
6775888955,15,6
6775888955,16,7
6775888955,17,7
6775888955,18,6
6962181067,15,6
6962181067,16,7
6962181067,17,7
6962181067,18,7
6962181067,19,4
7007744171,15,6
7007744171,16,7
7007744171,17,7
7007744171,18,6
7086361926,15,6
7086361926,16,7
7086361926,17,7
7086361926,18,7
7086361926,19,4
8053475328,15,6
8053475328,16,7
8053475328,17,7
8053475328,18,7
8053475328,19,4
8253242879,15,6
8253242879,16,7
8253242879,17,6
8378563200,15,6
8378563200,16,7
8378563200,17,7
8378563200,18,7
8378563200,19,4
8583815059,15,6
8583815059,16,7
8583815059,17,7
8583815059,18,7
8583815059,19,4
8792009665,15,6
8792009665,16,7
8792009665,17,7
8792009665,18,7
8792009665,19,2
8877689391,15,6
8877689391,16,7
8877689391,17,7
8877689391,18,7
8877689391,19,4
