id,semana,registros_semanales
2022484408,15,6
2022484408,16,7
2022484408,17,7
2022484408,18,7
2022484408,19,4
2026352035,15,1
2026352035,17,1
2026352035,18,1
2026352035,19,1
2347167796,15,6
2347167796,16,7
2347167796,17,5
4020332650,15,5
4020332650,18,7
4020332650,19,4
4388161847,15,5
4388161847,16,7
4388161847,17,7
4388161847,18,7
4388161847,19,4
4558609924,15,6
4558609924,16,7
4558609924,17,7
4558609924,18,7
4558609924,19,4
5553957443,15,6
5553957443,16,7
5553957443,17,7
5553957443,18,7
5553957443,19,4
5577150313,15,6
5577150313,16,7
5577150313,17,7
5577150313,18,5
5577150313,19,3
6117666160,15,3
6117666160,16,7
6117666160,17,6
6117666160,18,6
6117666160,19,1
6775888955,15,5
6775888955,16,5
6775888955,17,6
6775888955,18,2
6962181067,15,6
6962181067,16,7
6962181067,17,7
6962181067,18,7
6962181067,19,4
7007744171,15,6
7007744171,16,7
7007744171,17,7
7007744171,18,4
8792009665,15,4
8792009665,16,5
8792009665,17,6
8792009665,18,3
8877689391,15,6
8877689391,16,7
8877689391,17,7
8877689391,18,7
8877689391,19,4
